run_id,label,timestamp,latitude,longitude,axis_m,elapsed_s,axis_velocity_mps,nearest_sensor,nearest_sensor_distance_m,second_sensor_distance_m,sensor_margin_m,nearest_station,nearest_station_distance_m,second_station_distance_m,station_margin_m,nearest_station_axis_m,side_label,direction,lap_progress_stationized
0,mustang,2024-03-29 18:45:35+00:00,40.288484,-88.126149,31.45425068088501,214.0,-8.562146229359385,rs3,6.572695013334058,35.44423210351767,28.87153709018361,3,6.572695013334058,47.729652542926296,41.15695752959224,26.33125891160298,positive_cross,toward_S1,3.0948702179496674
0,mustang,2024-03-29 18:45:36+00:00,40.288566,-88.126145,22.33163015394969,215.0,-9.122620526935322,rs3,4.344934868960062,35.65518666710497,31.310251798144908,3,4.344934868960062,50.59468513828656,46.2497502693265,26.33125891160298,positive_cross,toward_S1,2.9259328007841985
0,mustang,2024-03-29 18:45:37+00:00,40.28865,-88.126142,12.988186004070432,216.0,-9.343444149879257,rs3,12.929417392602168,38.114931194929014,25.185513802326845,3,12.929417392602168,41.25021622474461,28.320798832142444,26.33125891160298,positive_cross,toward_S1,2.7529060572679156
0,mustang,2024-03-29 18:45:38+00:00,40.288738,-88.126137,3.1969744328008436,217.0,-9.791211571269589,rs3,22.566031273170022,31.453414745475023,8.887383472305,3,22.566031273170022,31.453414745475023,8.887383472305,26.33125891160298,positive_cross,toward_S1,2.571587324466627
0,mustang,2024-03-29 18:45:39+00:00,40.288824,-88.126135,-6.367293341624013,218.0,-9.564267774424856,rs6,21.894679389714018,32.091541435512205,10.196862045798188,2,21.894679389714018,32.091541435512205,10.196862045798188,-27.632700444717127,positive_cross,toward_S1,2.393803835242465
0,mustang,2024-03-29 18:45:40+00:00,40.288908,-88.126137,-15.70308727793394,219.0,-9.335793936309928,rs6,12.609725205868967,34.95976778032958,22.35004257446061,2,12.609725205868967,41.429664977870516,28.819939772001547,-27.632700444717127,positive_cross,toward_S1,2.2209187623478366
0,mustang,2024-03-29 18:45:41+00:00,40.288989,-88.126138,-24.70688075638452,220.0,-9.00379347845058,rs6,3.89785041425978,32.90498800531105,29.00713759105127,2,3.89785041425978,50.43305904275039,46.535208628490615,-27.632700444717127,positive_cross,toward_S1,2.0541818460802332
0,mustang,2024-03-29 18:45:42+00:00,40.289069,-88.126142,-33.594907272094076,221.0,-8.888026515709555,rs6,5.788442829747804,32.980668861665066,27.19222603191726,2,5.788442829747804,45.94076544654002,40.15232261679222,-27.632700444717127,positive_cross,toward_S1,1.8895887624559824
0,mustang,2024-03-29 18:45:43+00:00,40.289146,-88.126144,-42.15246337362786,222.0,-8.557556101533784,rs6,14.148448456861786,35.38929427250907,21.240845815647283,2,14.148448456861786,37.38988633444419,23.241437877582406,-27.632700444717127,positive_cross,toward_S1,1.7311155013164679
0,mustang,2024-03-29 18:45:44+00:00,40.289221,-88.12614,-50.49684606418536,223.0,-8.344382690557502,rs6,22.39279633733253,29.041181727623563,6.648385390291033,2,22.39279633733253,29.041181727623563,6.648385390291033,-27.632700444717127,positive_cross,toward_S1,1.5765898959357734
0,mustang,2024-03-29 18:45:45+00:00,40.289297,-88.126135,-58.95393563174017,224.0,-8.45708956755481,rs8,20.577371382360575,30.800604865085376,10.223233482724801,1,20.577371382360575,30.800604865085376,10.223233482724801,-78.92951005359993,positive_cross,toward_S1,1.3699180448492547
0,mustang,2024-03-29 18:45:46+00:00,40.289371,-88.126134,-67.18255136118005,225.0,-8.228615729439873,rs8,12.355425636321874,31.518515839577134,19.16309020325526,1,12.355425636321874,39.02077135188559,26.665345715563717,-78.92951005359993,positive_cross,toward_S1,1.2175362720818497
0,mustang,2024-03-29 18:45:47+00:00,40.289441,-88.126137,-74.96033958346416,226.0,-7.777788222284116,rs8,4.678275680839142,29.27744164172938,24.599165960890236,1,4.678275680839142,46.81074560588077,42.132469925041626,-78.92951005359993,positive_cross,toward_S1,1.073503156854366
0,mustang,2024-03-29 18:45:48+00:00,40.289508,-88.126143,-82.40000717719141,227.0,-7.4396675937272505,rs8,3.346827735496701,28.72687264583844,25.380044910341738,1,3.346827735496701,54.27676224556788,50.92993451007118,-78.92951005359993,positive_cross,toward_S1,0.9357315347483058
0,mustang,2024-03-29 18:45:49+00:00,40.289575,-88.12616,-89.8228442992848,228.0,-7.422837122093384,rs8,10.816531113592388,29.21468868860259,18.398157575010202,1,10.816531113592388,61.79093162934651,50.97440051575412,-78.92951005359993,positive_cross,toward_S1,0.7982715880428728
0,mustang,2024-03-29 18:45:50+00:00,40.28963,-88.126208,-95.86412808929528,229.0,-6.041283790010482,rs8,17.971890278151307,28.664548049202523,10.692657771051216,1,17.971890278151307,68.23598827608664,50.26409799793534,-78.92951005359993,positive_cross,toward_S1,0.686395962301938
0,mustang,2024-03-29 18:45:51+00:00,40.289664,-88.126275,-99.54162755876685,230.0,-3.67749946947157,rs8,23.993409554438955,27.135664993018434,3.142255438579479,1,23.993409554438955,72.82022432069192,48.826814766252966,-78.92951005359993,positive_cross,toward_S1,0.6182941202746867
0,mustang,2024-03-29 18:45:52+00:00,40.28966,-88.126354,-98.97604683675078,231.0,0.5655807220160654,rs10,23.04036992039785,27.838125608788054,4.797755688390204,1,23.04036992039785,73.14879350937227,50.10842358897442,-78.92951005359993,negative_cross,toward_S4,0.6287678373490582
