loop_node_index,rs10__mic,rs1__mic,rs2__mic,rs3__mic,rs5__mic,rs6__mic,rs7__mic,rs8__mic
19,-0.39643002013145245,-0.3449888234149783,1.329989686353315,-0.49556005962125366,-0.4457148909169992,-0.13775048055552397,-0.32878048332427345,-0.387188662819653
20,-0.36953329260481105,-0.2610606313286913,1.2928225720822322,-0.5895085195517329,-0.04116034143186703,-0.2979924183356353,-0.026534934015630764,-0.42008799447080825
21,-0.5323962654674994,-0.3283784844925812,0.5310376520240296,-0.4082835996607619,-0.046727561917286914,-0.47327959019637944,0.4725137703929742,-0.5753928519644005
22,-0.6196873388898204,-0.27140019317998293,0.6131030061573364,-0.34052651186063043,0.04074559282065503,-0.4295968848653501,0.8615713098549891,-0.4457741763420815
23,-0.7069784123121414,-0.21442190186738466,0.6951683602906431,-0.272769424060499,0.12821874755859697,-0.3859141795343207,1.2506288493170041,-0.3161555007197625
24,-0.2946041335101013,-0.4731444674700035,0.07900993197924744,-0.0317505922184428,0.18704265240387946,-0.4640294827150665,1.1245915227342898,-0.6307632783735319
25,-0.548059187807458,-0.36374176651961715,-0.27120411964661884,-0.018548741687164368,0.1428284731062212,-0.49599080861575673,1.4284323430213506,-0.6772089691028466
26,-0.616260049313809,-0.32592586789587485,-0.33096259188288735,0.2102686355614009,0.36447870258022297,-0.4661365236474284,1.6470447279005112,-0.6632174772889454
27,-0.5440489723504089,-0.46032159106314346,-0.3050790016487228,0.5879229484825113,0.8294175087261362,-0.4730315290914848,1.625231721630744,-0.6494151520931879
28,-0.6930132468910295,0.3245371278118891,0.035539146958616784,1.262081770692979,1.350964440352161,-0.21247149593463405,1.5980510352464625,-0.4407806113384999
29,-0.5330621634203971,-0.4250760750618007,-0.5677698753666081,1.5854199317364719,1.3400647009441946,-0.5473229361470402,1.006921590982397,-0.629424000238933
30,-0.026706111139399885,-0.5678820228174157,0.13085785187303012,2.0310631119624643,2.058266887750338,-0.4543285279994458,1.3326944047231468,-0.4126010432125042
31,-0.5299544820877724,-0.398160101231481,-0.48285390133554623,1.9951118095427671,1.0042206248800871,-0.5849481099262753,0.4734517113298612,-0.730214613213411
32,-0.531611471841246,-0.03192155545396671,-0.6024463828219948,1.5191009701160005,0.32978958768246563,-0.4724473751045368,-0.009291049546760447,-0.6879829548602734
33,-0.5358235606750195,0.3566768884149034,-0.6711153084103465,1.0695754032943703,0.07083598117457685,-0.6136803672714067,-0.22163293213924462,-0.7278324674549281
34,-0.5400356495087929,0.7452753322837735,-0.7397842339986983,0.6200498364727398,-0.188117625333312,-0.7549133594382766,-0.43397481473172883,-0.7676819800495829
35,-0.531653991018179,1.2590467810412678,-0.2962440907450407,0.5390115353982093,-0.38389784349123984,-0.3925098753027583,-0.4733370875349215,-0.5991552237534183
36,-0.641895762811809,1.5256606890102364,-0.25701938559849535,0.1507016971596129,-0.2896389529618546,-0.5087117540109114,-0.39975482752294866,-0.6160733001734595
37,-0.42671552410272334,0.9120162591778957,-0.15118310913939972,-0.4015666961576083,-0.42786558925428514,-0.5100462338674838,-0.476423121132611,-0.5712987860242674
