tracker_mode,run_id,label,station_accuracy,side_accuracy,joint_station_side_accuracy,direction_accuracy_non_ambiguous
linear_fused,4,gle350,0.3151447661469933,0.5133630289532294,0.13474387527839643,0.0
linear_fused,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
linear_fused,6,cx30,0.3076062639821029,0.5313199105145414,0.1599552572706935,0.0
linear_fused,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
linear_geo,0,mustang,0.2772166105499439,0.5050505050505051,0.13804713804713806,0.0
linear_geo,1,mustang,0.2686084142394822,0.4994606256742179,0.1262135922330097,0.0
linear_geo,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
linear_geo,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
linear_geo,4,gle350,0.3151447661469933,0.5133630289532294,0.13474387527839643,0.0
linear_geo,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
linear_geo,6,cx30,0.3076062639821029,0.5313199105145414,0.1599552572706935,0.0
linear_geo,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
linear_mic,0,mustang,0.2772166105499439,0.5050505050505051,0.13804713804713806,0.0
linear_mic,1,mustang,0.2686084142394822,0.4994606256742179,0.1262135922330097,0.0
linear_mic,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
linear_mic,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
linear_mic,4,gle350,0.3151447661469933,0.5133630289532294,0.13474387527839643,0.0
linear_mic,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
linear_mic,6,cx30,0.3076062639821029,0.5313199105145414,0.1599552572706935,0.0
linear_mic,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
mic,0,mustang,0.5387205387205387,0.7598204264870931,0.4713804713804714,0.3768613974799542
mic,1,mustang,0.4120819848975189,0.6519237684286228,0.3318950017979144,0.3627056672760512
mic,2,miata,0.30269058295964124,0.6165919282511211,0.2163677130044843,0.3072429906542056
mic,3,miata,0.3730482009504413,0.6031907671418874,0.27359131025118805,0.3077194219245682
mic,4,gle350,0.38641425389755013,0.6169265033407573,0.30734966592427615,0.3611738148984199
mic,5,gle350,0.36836158192090396,0.6308851224105462,0.29265536723163843,0.356651376146789
mic,6,cx30,0.3131991051454139,0.6263982102908278,0.24161073825503357,0.312
mic,7,cx30,0.37698986975397974,0.6143270622286541,0.2959479015918958,0.32730627306273063
sensor_centroid_fused,0,mustang,0.3221099887766554,0.7598204264870931,0.2839506172839506,0.5647193585337915
sensor_centroid_fused,1,mustang,0.31211794318590436,0.6454512765192377,0.22869471413160733,0.5736745886654478
sensor_centroid_fused,2,miata,0.2679372197309417,0.5930493273542601,0.1804932735426009,0.5175233644859814
sensor_centroid_fused,3,miata,0.26782077393075354,0.6357773251866938,0.18805159538357094,0.5216778286922806
